1	1	22	
1	15	1122	n
2	1	136	n
3	18	9	n
3	4	10	n
3	18	10	n
3	14	17	n
3	4	29	n
3	4	45	n
3	18	50	n
3	4	52	n
3	18	64	n
3	16	73	n
3	18	77	n
3	5	90	n
3	4	101	n
3	4	105	n
3	4	128	n
3	1	136	n
3	10	149	n
3	4	158	n
3	4	180	n
3	1	189	n
3	1	193	n
3	1	197	n
3	1	225	n
3	1	281	n
3	14	290	n
3	4	333	n
3	1	368	n
3	1	428	n
3	1	431	n
3	3	455	n
3	18	568	n
3	18	573	n
3	2	771	n
3	15	1202	
3	15	1203	n
3	22	2447	n
4	1	111	n
4	17	311	n
4	17	375	n
4	1	466	n
4	15	1226	n
5	1	194	n
5	13	199	n
5	1	470	n
5	16	582	n
5	16	604	n
5	8	967	n
6	2	546	n
6	2	546	
6	21	2054	n
6	21	2054	
7	1	520	n
8	1	461	n
9	17	169	
9	19	714	n
9	19	714	
9	2	748	n
9	2	748	
9	19	1026	
9	19	1142	
9	19	1285	
10	4	3	
10	4	29	
10	18	129	n
10	18	129	
10	18	136	
10	18	143	n
10	18	143	
10	18	144	n
10	1	408	n
10	1	408	
10	1	424	n
10	1	443	n
10	6	692	
11	1	452	
12	1	31	
12	1	56	n
13	13	3	
13	13	4	
13	5	6	n
13	13	6	n
13	13	6	
13	13	8	
13	13	13	n
13	13	13	
13	3	16	
13	1	17	
13	13	21	
13	13	23	
13	13	25	
13	14	28	n
13	13	31	
13	13	33	n
13	13	33	
13	13	35	
13	13	37	
13	12	56	
13	13	58	n
13	9	60	
13	13	61	
13	12	67	n
13	13	71	
13	13	72	n
13	13	72	
13	3	73	n
13	13	73	
13	14	73	
13	3	74	n
13	13	74	n
13	14	76	n
13	13	76	
13	3	78	n
13	3	79	
13	10	81	
13	13	85	n
13	3	85	
13	13	85	
13	14	102	n
13	13	102	
13	14	102	
13	13	103	n
13	14	103	n
13	13	103	
13	13	104	
13	13	105	
13	13	106	n
13	13	106	
13	13	107	n
13	13	107	
13	13	108	n
13	10	108	
13	13	108	
13	13	109	
13	13	111	
13	13	114	
13	18	114	
13	13	117	
13	13	118	
13	13	122	n
13	13	122	
13	13	124	
13	13	127	
13	14	132	n
13	10	132	
13	6	146	n
13	14	146	n
13	6	154	n
13	13	154	n
13	5	162	n
